sep=,
Date,Speed,Altitude,Pressure,X,Y,Z,G,Latitude,Longitude,Heading,Magnetic Field,Sound Level,Luminance,Heart Rate
"2021-10-13 13:43:20.572",0.000000,1010.742554,892.135544,-0.028061,-0.966660,0.281219,1.007126,33.588312,-102.031943,212.637054,31.931935,52.851814,0.051529,HRDATA
"2021-10-13 13:43:20.674",0.000000,1010.742554,892.135544,-0.028214,-0.967514,0.280655,1.007793,33.588312,-102.031943,213.680771,31.949966,51.392567,0.051769,HRDATA
"2021-10-13 13:43:20.772",0.000000,1010.742554,892.135544,-0.028366,-0.961060,0.279434,1.001261,33.588312,-102.031943,213.680771,31.949966,50.371792,0.052018,HRDATA
"2021-10-13 13:43:20.872",0.000000,1010.742554,892.135544,-0.025787,-0.956863,0.278320,0.996852,33.588312,-102.031943,214.723923,32.230632,48.924400,0.051861,HRDATA
"2021-10-13 13:43:20.974",0.000000,1010.742554,892.135544,-0.029480,-0.960510,0.279877,1.000890,33.588312,-102.031943,215.914841,32.113297,55.374268,0.052235,HRDATA
"2021-10-13 13:43:21.074",0.000000,1010.742554,892.135544,-0.028839,-0.964172,0.279541,1.004292,33.588312,-102.031943,217.091675,32.332264,54.583248,0.052015,HRDATA
"2021-10-13 13:43:21.174",0.000000,1010.742554,892.135544,-0.027191,-0.967072,0.278412,1.006717,33.588312,-102.031943,218.169876,32.403028,53.369560,0.052211,HRDATA
"2021-10-13 13:43:21.273",0.000000,1010.742554,892.135544,-0.027512,-0.962418,0.279617,1.002592,33.588312,-102.031943,219.335907,32.091688,54.552567,0.052537,HRDATA
"2021-10-13 13:43:21.373",0.000000,1010.742554,892.144394,-0.027542,-0.959518,0.277588,0.999244,33.588312,-102.031943,220.584259,32.334345,52.619785,0.052753,HRDATA
"2021-10-13 13:43:21.473",0.000000,1010.742554,892.144394,-0.027664,-0.959610,0.279541,0.999880,33.588312,-102.031943,221.591843,32.360392,50.348019,0.053162,HRDATA
"2021-10-13 13:43:21.573",0.000000,1010.742554,892.144394,-0.027710,-0.965714,0.281158,1.006191,33.588312,-102.031943,222.636978,32.422669,50.555984,0.053765,HRDATA
"2021-10-13 13:43:21.671",0.000000,1010.776978,892.144394,-0.027618,-0.965088,0.280502,1.005405,33.588317,-102.031925,224.865631,32.577468,52.451714,0.054006,HRDATA
"2021-10-13 13:43:21.773",0.000000,1010.776978,892.144394,-0.028107,-0.966415,0.280502,1.006693,33.588317,-102.031925,226.070038,32.451765,50.773838,0.054743,HRDATA
"2021-10-13 13:43:21.874",0.000000,1010.776978,892.144394,-0.028290,-0.958389,0.279236,0.998641,33.588317,-102.031925,227.294846,32.729577,51.561333,0.054958,HRDATA
"2021-10-13 13:43:21.974",0.000000,1010.776978,892.144394,-0.027405,-0.963181,0.279068,1.003168,33.588317,-102.031925,229.860794,32.409137,50.181126,0.055327,HRDATA
"2021-10-13 13:43:22.071",0.000000,1010.776978,892.144394,-0.029297,-0.962173,0.279251,1.002306,33.588317,-102.031925,231.183762,32.552966,54.837639,0.056111,HRDATA
"2021-10-13 13:43:22.174",0.000000,1010.776978,892.144394,-0.027328,-0.969620,0.280212,1.009667,33.588317,-102.031925,232.503815,32.788802,54.698540,0.056265,HRDATA
"2021-10-13 13:43:22.273",0.000000,1010.776978,892.144394,-0.026733,-0.962891,0.279922,1.003110,33.588317,-102.031925,235.235016,32.802582,55.458122,0.056782,HRDATA
"2021-10-13 13:43:22.373",0.000000,1010.776978,892.144394,-0.027283,-0.967972,0.282013,1.008586,33.588317,-102.031925,236.618423,32.698732,53.697945,0.056944,HRDATA
"2021-10-13 13:43:22.473",0.000000,1010.776978,892.144394,-0.028137,-0.958313,0.279434,0.998619,33.588317,-102.031925,238.015167,32.672952,54.985500,0.056218,HRDATA
"2021-10-13 13:43:22.574",0.000000,1010.776978,892.148514,-0.026321,-0.955688,0.277863,0.995611,33.588317,-102.031925,240.882172,32.872018,56.794586,0.056548,HRDATA
"2021-10-13 13:43:22.673",0.000000,1010.776978,892.148514,-0.028442,-0.966904,0.283203,1.007926,33.588317,-102.031925,242.300171,32.983434,55.548351,0.056978,HRDATA
"2021-10-13 13:43:22.774",0.000000,1010.776978,892.148514,-0.027328,-0.975571,0.281677,1.015789,33.588317,-102.031925,243.720490,32.894499,53.378654,0.057273,HRDATA
"2021-10-13 13:43:22.874",0.000000,1010.776978,892.148514,-0.027817,-0.960953,0.279907,1.001275,33.588317,-102.031925,246.517395,33.318406,52.637806,0.057323,HRDATA
"2021-10-13 13:43:22.975",0.000000,1010.776978,892.148514,-0.028214,-0.963776,0.280457,1.004149,33.588317,-102.031925,247.880707,33.144468,51.659218,0.057420,HRDATA
"2021-10-13 13:43:23.071",0.000000,1010.776978,892.148514,-0.027374,-0.951523,0.278076,0.991701,33.588317,-102.031925,249.246124,33.180346,52.557079,0.057593,HRDATA
"2021-10-13 13:43:23.172",0.000000,1010.776978,892.148514,-0.026245,-0.962051,0.277420,1.001596,33.588317,-102.031925,251.934540,33.353740,53.914959,0.057714,HRDATA
"2021-10-13 13:43:23.275",0.000000,1010.776978,892.148514,-0.027512,-0.965973,0.281418,1.006507,33.588317,-102.031925,253.256897,33.114362,52.418125,0.057451,HRDATA
"2021-10-13 13:43:23.371",0.000000,1010.787415,892.148514,-0.028091,-0.963776,0.281937,1.004560,33.588317,-102.031923,254.562027,33.416404,52.867619,0.057969,HRDATA
"2021-10-13 13:43:23.472",0.000000,1010.787415,892.148514,-0.029221,-0.971619,0.284058,1.012712,33.588317,-102.031923,257.048676,33.752915,51.715324,0.058205,HRDATA
"2021-10-13 13:43:23.574",0.000000,1010.787415,892.148514,-0.027588,-0.954056,0.277832,0.994070,33.588317,-102.031923,258.231384,33.434665,54.540291,0.058559,HRDATA
"2021-10-13 13:43:23.672",0.000000,1010.787415,892.148514,-0.027161,-0.962189,0.280746,1.002678,33.588317,-102.031923,259.372650,33.398353,52.445095,0.058632,HRDATA
"2021-10-13 13:43:23.772",0.000000,1010.787415,892.148514,-0.027878,-0.959335,0.279083,0.999494,33.588317,-102.031923,261.520447,33.666701,51.643208,0.058628,HRDATA
"2021-10-13 13:43:23.874",0.000000,1010.787415,892.148514,-0.028305,-0.970795,0.283279,1.011677,33.588317,-102.031923,262.547546,33.714427,53.224358,0.058679,HRDATA
"2021-10-13 13:43:23.974",0.000000,1010.787415,892.148514,-0.029037,-0.966309,0.281509,1.006898,33.588317,-102.031923,263.859253,33.954829,52.847290,0.058710,HRDATA
"2021-10-13 13:43:24.072",0.000000,1010.787415,892.148514,-0.029510,-0.960480,0.281509,1.001319,33.588317,-102.031923,265.083466,33.882153,50.532711,0.058773,HRDATA
"2021-10-13 13:43:24.174",0.000000,1010.787415,892.148514,-0.028763,-0.955582,0.280182,0.996226,33.588317,-102.031923,266.216492,33.921344,50.596714,0.058815,HRDATA
"2021-10-13 13:43:24.274",0.000000,1010.787415,892.148514,-0.027435,-0.959839,0.280838,1.000457,33.588317,-102.031923,267.233582,34.106805,51.127628,0.058895,HRDATA
"2021-10-13 13:43:24.372",0.000000,1010.787415,892.148514,-0.027634,-0.955154,0.277603,0.995061,33.588317,-102.031923,268.342499,34.368749,53.075573,0.059016,HRDATA
"2021-10-13 13:43:24.474",0.000000,1010.787415,892.148514,-0.029205,-0.973419,0.281860,1.013826,33.588317,-102.031923,268.342499,34.368749,51.354668,0.059075,HRDATA
"2021-10-13 13:43:24.574",0.000000,1010.787415,892.148514,-0.028366,-0.962402,0.280960,1.002976,33.588317,-102.031923,269.474060,34.632498,54.368835,0.059118,HRDATA
"2021-10-13 13:43:24.674",0.000000,1010.787415,892.148514,-0.028046,-0.959106,0.279160,0.999301,33.588317,-102.031923,269.474060,34.632498,53.022274,0.059035,HRDATA
"2021-10-13 13:43:24.774",0.000000,1010.787415,892.145996,-0.027985,-0.962433,0.279694,1.002641,33.588317,-102.031923,270.535583,34.395739,51.729557,0.059090,HRDATA
"2021-10-13 13:43:24.874",0.000000,1010.787415,892.145996,-0.028091,-0.958328,0.278687,0.998423,33.588317,-102.031923,270.535583,34.395739,49.898975,0.059068,HRDATA
"2021-10-13 13:43:24.974",0.000000,1010.787415,892.145996,-0.029465,-0.975708,0.286163,1.017233,33.588317,-102.031923,270.535583,34.395739,54.968918,0.059091,HRDATA
"2021-10-13 13:43:25.071",0.000000,1010.787415,892.145996,-0.027924,-0.958054,0.279388,0.998351,33.588317,-102.031923,271.571808,34.508973,53.095058,0.059096,HRDATA
"2021-10-13 13:43:25.174",0.000000,1010.787415,892.145996,-0.028503,-0.965378,0.280975,1.005840,33.588317,-102.031923,271.571808,34.508973,50.616642,0.059106,HRDATA
"2021-10-13 13:43:25.274",0.000000,1010.787415,892.145996,-0.028214,-0.949249,0.275162,0.988729,33.588317,-102.031923,271.571808,34.508973,51.994530,0.059078,HRDATA
"2021-10-13 13:43:25.373",0.000000,1010.787415,892.145996,-0.028595,-0.963150,0.279709,1.003351,33.588317,-102.031923,271.571808,34.508973,49.989361,0.059044,HRDATA
"2021-10-13 13:43:25.474",0.000000,1010.787415,892.145996,-0.027451,-0.956573,0.277512,0.996393,33.588317,-102.031923,271.571808,34.508973,53.424358,0.059023,HRDATA
"2021-10-13 13:43:25.573",0.000000,1010.787415,892.145996,-0.029449,-0.972366,0.284760,1.013633,33.588317,-102.031923,271.571808,34.508973,52.524509,0.059001,HRDATA
"2021-10-13 13:43:25.674",0.000000,1010.787415,892.145996,-0.027618,-0.963989,0.282455,1.004898,33.588317,-102.031923,270.456360,34.419280,56.670734,0.058954,HRDATA
"2021-10-13 13:43:25.772",0.000000,1010.787415,892.145996,-0.030212,-0.956726,0.278931,0.997015,33.588317,-102.031923,270.456360,34.419280,54.545403,0.058909,HRDATA
"2021-10-13 13:43:25.874",0.000000,1010.787415,892.136993,-0.028244,-0.955292,0.278717,0.995522,33.588317,-102.031923,269.404266,34.422697,52.615234,0.058863,HRDATA
"2021-10-13 13:43:25.976",0.000000,1010.787415,892.136993,-0.028122,-0.960495,0.279099,1.000619,33.588317,-102.031923,268.269745,34.213416,51.916027,0.058825,HRDATA
